bus_index,bus_label,true_vm_pu,true_va_deg,pandapower_vm_pu,pandapower_va_deg,pandapower_vm_err_pu,pandapower_va_err_deg,Rust_StateRustimation_vm_pu,Rust_StateRustimation_va_deg,Rust_StateRustimation_vm_err_pu,Rust_StateRustimation_va_err_deg
0,0,1.04912065,-1.49278397,1.04930903,-1.50136474,1.88384095e-04,8.58077229e-03,1.04938920,-1.50068269,2.68550783e-04,7.89872629e-03
1,1,1.05000000,2.74473692,1.04992825,2.75609845,7.17537210e-05,1.13615253e-02,1.05005247,2.75559163,5.24717503e-05,1.08547085e-02
2,2,1.05000000,2.78297486,1.05039412,2.74565021,3.94119045e-04,3.73246496e-02,1.05051822,2.74517554,5.18219461e-04,3.77993243e-02
3,3,1.05000000,2.73886612,1.05033354,2.71847454,3.33541702e-04,2.03915821e-02,1.05045752,2.71798819,4.57518801e-04,2.08779335e-02
4,4,1.04034572,0.29326100,1.04042980,0.29945990,8.40886955e-05,6.19889446e-03,1.04056197,0.29926530,2.16257034e-04,6.00429992e-03
5,5,1.05000000,11.97766923,1.05069293,11.94263479,6.92926109e-04,3.50344349e-02,1.05086362,11.93888326,8.63622711e-04,3.87859647e-02
6,6,1.05000000,11.99739783,1.04927041,12.04904462,7.29594406e-04,5.16467873e-02,1.04944154,12.04524634,5.58462355e-04,4.78485032e-02
7,7,1.04621351,2.30878460,1.04620461,2.31703096,8.90216723e-06,8.24635486e-03,1.04633449,2.31628328,1.20976825e-04,7.49867361e-03
8,8,1.05000000,13.78436314,1.05028431,13.76079887,2.84309462e-04,2.35642726e-02,1.05046260,13.75676995,4.62597112e-04,2.75931893e-02
9,9,1.05000000,13.94128842,1.04802829,14.05564084,1.97170986e-03,1.14352426e-01,1.04820765,14.05148065,1.79235222e-03,1.10192230e-01
10,10,1.05000000,13.97431176,1.04950725,14.05284732,4.92749877e-04,7.85355635e-02,1.04968635,14.04869364,3.13645532e-04,7.43818802e-02
11,11,1.05000000,12.48390977,1.04854461,12.49519534,1.45539062e-03,1.12855663e-02,1.04871563,12.49121887,1.28437239e-03,7.30910240e-03
12,12,1.05000000,15.93657988,1.05068351,15.89986668,6.83514130e-04,3.67131919e-02,1.05085276,15.89507102,8.52758520e-04,4.15088584e-02
13,13,1.05102180,17.18913987,1.05105291,17.19126291,3.11119831e-05,2.12303946e-03,1.05122037,17.18654408,1.98571246e-04,2.59579353e-03
14,14,1.05000000,21.56056774,1.04997315,21.55257372,2.68464831e-05,7.99402125e-03,1.05016471,21.54611265,1.64706853e-04,1.44550879e-02
15,15,1.05000000,21.47534562,1.05008739,21.46984712,8.73939494e-05,5.49849653e-03,1.05028291,21.46339324,2.82908933e-04,1.19523806e-02
16,16,1.05000000,21.48906728,1.04984134,21.51661778,1.58658314e-04,2.75504952e-02,1.05003329,21.51017143,3.32912532e-05,2.11041441e-02
17,17,1.05000000,21.46630017,1.05008110,21.44080533,8.11008500e-05,2.54948406e-02,1.05027376,21.43438605,2.73756875e-04,3.19141234e-02
18,18,1.04525379,16.71112667,1.04526298,16.71336651,9.18977361e-06,2.23983883e-03,1.04542033,16.70915092,1.66542052e-04,1.97575551e-03
19,19,1.05000000,27.07083040,1.04896942,27.11218859,1.03057522e-03,4.13581960e-02,1.04896925,27.11427664,1.03074863e-03,4.34462447e-02
20,20,1.05000000,27.07083040,1.05068933,27.10151241,6.89331165e-04,3.06820106e-02,1.05086184,27.09460382,8.61839193e-04,2.37734207e-02
21,21,1.05000000,21.85497662,1.05013334,21.81781915,1.33339329e-04,3.71574698e-02,1.05032107,21.80968401,3.21070176e-04,4.52926133e-02
22,22,1.04981818,-2.22041068,1.04985683,-2.22212611,3.86595957e-05,1.71542348e-03,1.04997155,-2.22121310,1.53378376e-04,8.02420999e-04
23,23,1.05000000,2.27224332,1.04980806,2.28215634,1.91939197e-04,9.91302599e-03,1.04994051,2.28181865,5.94899087e-05,9.57533222e-03
