bus_id,name,vn_kv,type,zone,in_service,max_vm_pu,min_vm_pu,geo,voltage_level_kv
0,0,275.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-10.1811318138, -1.1891933741], ""type"": ""Point""}",275.0
1,1,275.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-9.7157477953, -1.9704445734], ""type"": ""Point""}",275.0
2,2,275.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-10.0568820891, -2.0181018402], ""type"": ""Point""}",275.0
3,3,275.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-9.4691902093, -2.0086670357], ""type"": ""Point""}",275.0
4,4,275.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-21.0703383258, 15.808599335], ""type"": ""Point""}",275.0
5,5,275.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-22.3225214574, 16.1338234435], ""type"": ""Point""}",275.0
6,6,275.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-21.8850746951, 16.7270288883], ""type"": ""Point""}",275.0
7,7,275.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-21.3523027434, 15.6046950027], ""type"": ""Point""}",275.0
8,8,275.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-22.4404964675, 16.0281755262], ""type"": ""Point""}",275.0
9,9,275.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-22.0236742512, 16.5617839248], ""type"": ""Point""}",275.0
10,10,275.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-22.6378504233, 15.6245383323], ""type"": ""Point""}",275.0
11,11,275.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-21.4351057144, 17.1544007992], ""type"": ""Point""}",275.0
12,12,275.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-21.640849293, 16.9829921417], ""type"": ""Point""}",275.0
13,13,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-9.1556961384, 10.5943766154], ""type"": ""Point""}",400.0
14,14,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-9.1277045044, 10.9144654552], ""type"": ""Point""}",400.0
15,15,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-9.4287600013, 10.4911700575], ""type"": ""Point""}",400.0
16,16,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-9.1352240423, 10.2571239821], ""type"": ""Point""}",400.0
17,17,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-8.8774944781, 10.6214921163], ""type"": ""Point""}",400.0
18,18,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-4.351452125, 3.615774979], ""type"": ""Point""}",400.0
19,19,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-3.572399305, 3.2899280985], ""type"": ""Point""}",400.0
20,20,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-3.612752942, 3.5910959578], ""type"": ""Point""}",400.0
