line_id,name,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,g_us_per_km,max_i_ka,df,parallel,type,in_service,geo,vn_from_kv,vn_to_kv,voltage_level_kv
0,,,62,63,1.0,3.025,73.946125,0.0,0.0,20.7846096908,1.0,1,ol,True,,275.0,275.0,275.0
1,,,62,64,1.0,3.025,73.946125,0.0,0.0,20.7846096908,1.0,1,ol,True,,275.0,275.0,275.0
2,,,277,278,1.0,3.248,30.512,1060.7676957075,0.0,14.2894191624,1.0,1,ol,True,,400.0,400.0,400.0
3,,,279,280,1.0,2.624,24.976,968.4578287142,0.0,14.2894191624,1.0,1,ol,True,,400.0,400.0,400.0
4,,,18,281,1.0,1.52,22.608,996.9067747919,0.0,14.2894191624,1.0,1,ol,True,,400.0,400.0,400.0
5,,,172,281,1.0,1.52,22.608,996.9067747919,0.0,14.2894191624,1.0,1,ol,True,,400.0,400.0,400.0
6,,,281,167,1.0,0.608,9.36,474.8785614504,0.0,14.2894191624,1.0,1,ol,True,,400.0,400.0,400.0
7,,,282,283,1.0,0.88,10.656,476.8679982391,0.0,14.2894191624,1.0,1,ol,True,,400.0,400.0,400.0
8,,,81,284,1.0,0.336,3.088,107.429586587,0.0,14.2894191624,1.0,1,ol,True,,400.0,400.0,400.0
9,,,81,285,1.0,0.32,3.024,105.2412061195,0.0,14.2894191624,1.0,1,ol,True,,400.0,400.0,400.0
10,,,286,287,1.0,0.064,0.608,24.8679598581,0.0,14.2894191624,1.0,1,ol,True,,400.0,400.0,400.0
11,,,18,288,1.0,0.352,4.24,175.4683247588,0.0,14.2894191624,1.0,1,ol,True,,400.0,400.0,400.0
12,,,289,288,1.0,2.16,19.744,752.0071061092,0.0,14.2894191624,1.0,1,ol,True,,400.0,400.0,400.0
13,,,290,288,1.0,0.224,3.488,152.9876890471,0.0,14.2894191624,1.0,1,ol,True,,400.0,400.0,400.0
14,,,172,291,1.0,0.4,4.256,174.2746626856,0.0,14.2894191624,1.0,1,ol,True,,400.0,400.0,400.0
15,,,289,291,1.0,2.16,19.744,752.0071061092,0.0,14.2894191624,1.0,1,ol,True,,400.0,400.0,400.0
16,,,290,291,1.0,0.224,3.488,152.9876890471,0.0,14.2894191624,1.0,1,ol,True,,400.0,400.0,400.0
17,,,281,292,1.0,0.736,10.736,487.8099005767,0.0,14.2894191624,1.0,1,ol,True,,400.0,400.0,400.0
18,,,293,292,1.0,0.08,1.344,1877.8293848055,0.0,14.2894191624,1.0,1,ol,True,,400.0,400.0,400.0
19,,,289,293,1.0,0.208,3.072,262.8045997805,0.0,14.2894191624,1.0,1,ol,True,,400.0,400.0,400.0
20,,,294,287,1.0,0.064,0.624,24.0721851426,0.0,14.2894191624,1.0,1,ol,True,,400.0,400.0,400.0
21,,,295,193,1.0,0.032,0.32,13.3292264839,0.0,14.2894191624,1.0,1,ol,True,,400.0,400.0,400.0
22,,,287,296,1.0,0.832,9.904,1332.5247610369,0.0,14.2894191624,1.0,1,ol,True,,400.0,400.0,400.0
23,,,287,297,1.0,0.752,8.432,374.4120036237,0.0,14.2894191624,1.0,1,ol,True,,400.0,400.0,400.0
24,,,18,297,1.0,0.784,8.816,391.5211600061,0.0,14.2894191624,1.0,1,ol,True,,400.0,400.0,400.0
25,,,287,298,1.0,0.752,8.432,374.2130599448,0.0,14.2894191624,1.0,1,ol,True,,400.0,400.0,400.0
26,,,172,298,1.0,0.784,8.816,391.5211600061,0.0,14.2894191624,1.0,1,ol,True,,400.0,400.0,400.0
27,,,299,287,1.0,0.048,0.56,23.4753541061,0.0,14.2894191624,1.0,1,ol,True,,400.0,400.0,400.0
28,,,299,283,1.0,1.584,16.928,693.1197771652,0.0,14.2894191624,1.0,1,ol,True,,400.0,400.0,400.0
29,,,287,300,1.0,0.432,4.736,194.1690305721,0.0,14.2894191624,1.0,1,ol,True,,400.0,400.0,400.0
30,,,281,167,1.0,0.608,9.36,474.8785614504,0.0,14.2894191624,1.0,1,ol,True,,400.0,400.0,400.0
31,,,28,281,1.0,0.112,1.888,4282.0637438874,0.0,14.2894191624,1.0,1,ol,True,,400.0,400.0,400.0
32,,,301,296,1.0,1.408,14.688,570.9683583422,0.0,14.2894191624,1.0,1,ol,True,,400.0,400.0,400.0
33,,,302,301,1.0,0.08,0.544,1596.1251355328,0.0,14.2894191624,1.0,1,ol,True,,400.0,400.0,400.0
34,,,302,303,1.0,0.224,3.376,169.5000143929,0.0,14.2894191624,1.0,1,ol,True,,400.0,400.0,400.0
35,,,28,281,1.0,0.144,2.304,2521.6111296122,0.0,14.2894191624,1.0,1,ol,True,,400.0,400.0,400.0
36,,,279,280,1.0,2.624,24.976,968.4578287142,0.0,14.2894191624,1.0,1,ol,True,,400.0,400.0,400.0
37,,,304,81,1.0,0.88,8.32,289.2641090695,0.0,14.2894191624,1.0,1,ol,True,,400.0,400.0,400.0
38,,,305,81,1.0,0.896,8.384,291.2535458582,0.0,14.2894191624,1.0,1,ol,True,,400.0,400.0,400.0
39,,,304,283,1.0,0.688,6.24,341.7852402898,0.0,14.2894191624,1.0,1,ol,True,,400.0,400.0,400.0
40,,,305,283,1.0,0.688,6.24,338.602141428,0.0,14.2894191624,1.0,1,ol,True,,400.0,400.0,400.0
41,,,283,285,1.0,0.896,9.552,391.1232726483,0.0,14.2894191624,1.0,1,ol,True,,400.0,400.0,400.0
42,,,283,284,1.0,0.896,9.52,389.3327795385,0.0,14.2894191624,1.0,1,ol,True,,400.0,400.0,400.0
43,,,304,306,1.0,0.128,1.232,45.1602151023,0.0,14.2894191624,1.0,1,ol,True,,400.0,400.0,400.0
44,,,305,307,1.0,0.128,1.232,45.1602151023,0.0,14.2894191624,1.0,1,ol,True,,400.0,400.0,400.0
45,,,300,282,1.0,0.912,11.136,496.9613098044,0.0,14.2894191624,1.0,1,ol,True,,400.0,400.0,400.0
46,,,280,285,1.0,1.152,10.608,402.2641186648,0.0,14.2894191624,1.0,1,ol,True,,400.0,400.0,400.0
47,,,280,284,1.0,0.944,10.256,419.572218726,0.0,14.2894191624,1.0,1,ol,True,,400.0,400.0,400.0
48,,,308,172,1.0,0.16,3.024,158.7570557342,0.0,14.2894191624,1.0,1,ol,True,,400.0,400.0,400.0
49,,,309,18,1.0,0.16,3.024,158.7570557342,0.0,14.2894191624,1.0,1,ol,True,,400.0,400.0,400.0
50,,,309,295,1.0,0.32,4.992,252.0616411218,0.0,14.2894191624,1.0,1,ol,True,,400.0,400.0,400.0
51,,,308,295,1.0,0.32,4.912,249.2764296177,0.0,14.2894191624,1.0,1,ol,True,,400.0,400.0,400.0
52,,,310,279,1.0,0.288,3.104,121.5545877864,0.0,14.2894191624,1.0,1,ol,True,,400.0,400.0,400.0
53,,,311,312,1.0,0.336,4.816,194.7658616087,0.0,14.2894191624,1.0,1,ol,True,,400.0,400.0,400.0
54,,,313,311,1.0,0.08,0.496,1513.1656214462,0.0,14.2894191624,1.0,1,ol,True,,400.0,400.0,400.0
55,,,313,314,1.0,0.896,13.904,704.2606231816,0.0,14.2894191624,1.0,1,ol,True,,400.0,400.0,400.0
56,,,315,97,1.0,0.624,11.024,534.5616651099,0.0,14.2894191624,1.0,1,ol,True,,400.0,400.0,400.0
57,,,316,317,1.0,0.848,13.216,641.9912516969,0.0,14.2894191624,1.0,1,ol,True,,400.0,400.0,400.0
58,,,315,92,1.0,0.016,0.224,142.6426177461,0.0,14.2894191624,1.0,1,ol,True,,400.0,400.0,400.0
59,,,317,94,1.0,0.016,0.128,4.5757046139,0.0,14.2894191624,1.0,1,ol,True,,400.0,400.0,400.0
60,,,39,46,1.0,0.192,3.104,150.7993085796,0.0,14.2894191624,1.0,1,ol,True,,400.0,400.0,400.0
61,,,318,319,1.0,0.512,7.824,397.0915830143,0.0,14.2894191624,1.0,1,ol,True,,400.0,400.0,400.0
62,,,320,321,1.0,0.464,7.296,370.0352426887,0.0,14.2894191624,1.0,1,ol,True,,400.0,400.0,400.0
63,,,318,322,1.0,0.512,7.824,397.0915830143,0.0,14.2894191624,1.0,1,ol,True,,400.0,400.0,400.0
64,,,46,323,1.0,0.176,2.768,140.4542372786,0.0,14.2894191624,1.0,1,ol,True,,400.0,400.0,400.0
65,,,324,321,1.0,0.624,6.56,343.5757333996,0.0,14.2894191624,1.0,1,ol,True,,400.0,400.0,400.0
66,,,97,182,1.0,0.272,4.608,211.0792432756,0.0,14.2894191624,1.0,1,ol,True,,400.0,400.0,400.0
