trafo_id,name,std_type,hv_bus,lv_bus,sn_mva,vn_hv_kv,vn_lv_kv,vk_percent,vkr_percent,pfe_kw,i0_percent,shift_degree,tap_side,tap_neutral,tap_min,tap_max,tap_step_percent,tap_step_degree,tap_pos,parallel,df,in_service,tap_changer_type,voltage_level_hv_kv,voltage_level_lv_kv
0,,,0,1,9900.0,275.0,275.0,265.6641527286,8.811,0.0,0.0,0.0,hv,0.0,,,0.09,,-1.0,1,1.0,True,Ratio,275.0,275.0
1,,,0,2,9900.0,275.0,275.0,267.3554525814,5.445,0.0,0.0,0.0,hv,0.0,,,0.01,,-1.0,1,1.0,True,Ratio,275.0,275.0
2,,,0,3,9900.0,275.0,275.0,265.1413150171,7.92,0.0,0.0,0.0,hv,0.0,,,0.08,,-1.0,1,1.0,True,Ratio,275.0,275.0
3,,,4,5,9900.0,275.0,275.0,1133.9440855144,21.087,0.0,0.0,0.0,hv,0.0,,,1.38,,1.0,1,1.0,True,Ratio,275.0,275.0
4,,,4,6,9900.0,275.0,275.0,1135.824760784,21.087,0.0,0.0,0.0,hv,0.0,,,1.38,,1.0,1,1.0,True,Ratio,275.0,275.0
5,,,7,8,9900.0,275.0,275.0,1120.4824417299,21.087,0.0,0.0,0.0,hv,0.0,,,1.3,,1.0,1,1.0,True,Ratio,275.0,275.0
6,,,7,9,9900.0,275.0,275.0,1134.5253140411,20.394,0.0,0.0,0.0,hv,0.0,,,1.39,,1.0,1,1.0,True,Ratio,275.0,275.0
7,,,7,10,9900.0,275.0,275.0,1137.692803588,20.394,0.0,0.0,0.0,hv,0.0,,,1.39,,1.0,1,1.0,True,Ratio,275.0,275.0
8,,,4,11,9900.0,275.0,275.0,1080.4587143339,19.206,0.0,0.0,0.0,hv,0.0,,,1.38,,1.0,1,1.0,True,Ratio,275.0,275.0
9,,,7,12,9900.0,275.0,275.0,831.2629545553,9.9,0.0,0.0,0.0,hv,0.0,,,2.21,,1.0,1,1.0,True,Ratio,275.0,275.0
10,,,13,14,9900.0,400.0,400.0,279.9877527393,2.97,0.0,0.0,0.0,hv,0.0,,,2.82,,1.0,1,1.0,True,Ratio,400.0,400.0
11,,,13,15,9900.0,400.0,400.0,277.7356558474,4.752,0.0,0.0,0.0,hv,0.0,,,1.75,,1.0,1,1.0,True,Ratio,400.0,400.0
12,,,13,16,9900.0,400.0,400.0,276.030180176,3.168,0.0,0.0,0.0,hv,0.0,,,2.61,,1.0,1,1.0,True,Ratio,400.0,400.0
13,,,13,17,9900.0,400.0,400.0,275.2418111861,3.465,0.0,0.0,0.0,hv,0.0,,,2.38,,1.0,1,1.0,True,Ratio,400.0,400.0
14,,,18,19,9900.0,400.0,400.0,655.1104312679,12.87,0.0,0.0,0.0,hv,0.0,,,3.37,,1.0,1,1.0,True,Ratio,400.0,400.0
15,,,18,20,9900.0,400.0,400.0,655.1104312679,12.87,0.0,0.0,0.0,hv,0.0,,,3.37,,1.0,1,1.0,True,Ratio,400.0,400.0
16,,,18,21,9900.0,400.0,400.0,655.1104312679,12.87,0.0,0.0,0.0,hv,0.0,,,4.45,,1.0,1,1.0,True,Ratio,400.0,400.0
17,,,22,23,9900.0,400.0,400.0,274.51055901,6.732,0.0,0.0,0.0,hv,0.0,,,3.13,,1.0,1,1.0,True,Ratio,400.0,400.0
18,,,22,24,9900.0,400.0,400.0,268.887535691,7.425,0.0,0.0,0.0,hv,0.0,,,2.8,,1.0,1,1.0,True,Ratio,400.0,400.0
19,,,25,26,9900.0,400.0,400.0,264.7177251885,6.93,0.0,0.0,0.0,hv,0.0,,,2.24,,1.0,1,1.0,True,Ratio,400.0,400.0
20,,,25,27,9900.0,400.0,400.0,274.0157081501,6.732,0.0,0.0,0.0,hv,0.0,,,2.37,,1.0,1,1.0,True,Ratio,400.0,400.0
21,,,28,29,9900.0,400.0,400.0,463.0748572628,6.93,0.0,0.0,0.0,hv,0.0,,,2.04,,-1.0,1,1.0,True,Ratio,400.0,400.0
22,,,28,30,9900.0,400.0,400.0,463.0748572628,6.93,0.0,0.0,0.0,hv,0.0,,,2.04,,-1.0,1,1.0,True,Ratio,400.0,400.0
23,,,28,31,9900.0,400.0,400.0,463.0748572628,6.93,0.0,0.0,0.0,hv,0.0,,,2.04,,-1.0,1,1.0,True,Ratio,400.0,400.0
24,,,28,32,9900.0,400.0,400.0,463.0748572628,6.93,0.0,0.0,0.0,hv,0.0,,,2.04,,-1.0,1,1.0,True,Ratio,400.0,400.0
25,,,28,33,9900.0,400.0,400.0,463.0748572628,6.93,0.0,0.0,0.0,hv,0.0,,,2.04,,-1.0,1,1.0,True,Ratio,400.0,400.0
26,,,28,34,9900.0,400.0,400.0,463.0748572628,6.93,0.0,0.0,0.0,hv,0.0,,,3.86,,1.0,1,1.0,True,Ratio,400.0,400.0
27,,,35,36,9900.0,400.0,400.0,195.6620982638,3.861,0.0,0.0,0.0,hv,0.0,,,1.63,,1.0,1,1.0,True,Ratio,400.0,400.0
28,,,35,37,9900.0,400.0,400.0,194.6722920115,3.861,0.0,0.0,0.0,hv,0.0,,,1.63,,1.0,1,1.0,True,Ratio,400.0,400.0
29,,,35,38,9900.0,400.0,400.0,198.9284725775,3.861,0.0,0.0,0.0,hv,0.0,,,1.66,,1.0,1,1.0,True,Ratio,400.0,400.0
30,,,39,40,9900.0,400.0,400.0,189.6373361182,4.455,0.0,0.0,0.0,hv,0.0,,,2.11,,1.0,1,1.0,True,Ratio,400.0,400.0
31,,,39,41,9900.0,400.0,400.0,191.2209025865,4.455,0.0,0.0,0.0,hv,0.0,,,2.13,,1.0,1,1.0,True,Ratio,400.0,400.0
32,,,39,42,9900.0,400.0,400.0,189.2368879738,4.257,0.0,0.0,0.0,hv,0.0,,,2.2,,1.0,1,1.0,True,Ratio,400.0,400.0
33,,,43,44,9900.0,400.0,400.0,202.2666913978,1.98,0.0,0.0,0.0,hv,0.0,,,3.19,,1.0,1,1.0,True,Ratio,400.0,400.0
34,,,43,45,9900.0,400.0,400.0,203.5546171842,2.079,0.0,0.0,0.0,hv,0.0,,,3.05,,1.0,1,1.0,True,Ratio,400.0,400.0
35,,,46,47,9900.0,400.0,400.0,249.8815304459,7.227,0.0,0.0,0.0,hv,0.0,,,3.02,,1.0,1,1.0,True,Ratio,400.0,400.0
36,,,46,48,9900.0,400.0,400.0,274.4461422575,10.89,0.0,0.0,0.0,hv,0.0,,,2.21,,1.0,1,1.0,True,Ratio,400.0,400.0
37,,,49,50,9900.0,400.0,400.0,255.2820150539,9.009,0.0,0.0,0.0,hv,0.0,,,2.05,,1.0,1,1.0,True,Ratio,400.0,400.0
38,,,49,51,9900.0,400.0,400.0,267.5956082095,7.227,0.0,0.0,0.0,hv,0.0,,,2.63,,1.0,1,1.0,True,Ratio,400.0,400.0
39,,,52,53,9900.0,400.0,400.0,249.8815304459,7.227,0.0,0.0,0.0,hv,0.0,,,1.75,,1.0,1,1.0,True,Ratio,400.0,400.0
40,,,52,54,9900.0,400.0,400.0,250.7721590468,7.227,0.0,0.0,0.0,hv,0.0,,,1.75,,1.0,1,1.0,True,Ratio,400.0,400.0
41,,,55,56,9900.0,275.0,275.0,277.2615322777,5.841,0.0,0.0,0.0,hv,0.0,,,5.0,,1.0,1,1.0,True,Ratio,275.0,275.0
42,,,57,58,9900.0,275.0,275.0,275.0380362495,2.97,0.0,0.0,0.0,hv,0.0,,,7.47,,1.0,1,1.0,True,Ratio,275.0,275.0
43,,,59,60,9900.0,275.0,275.0,272.7150827512,6.138,0.0,0.0,0.0,hv,0.0,,,6.59,,1.0,1,1.0,True,Ratio,275.0,275.0
44,,,55,61,9900.0,275.0,275.0,279.0370804391,5.544,0.0,0.0,0.0,hv,0.0,,,5.28,,1.0,1,1.0,True,Ratio,275.0,275.0
45,,,65,66,9900.0,275.0,275.0,290.1042087337,4.455,0.0,0.0,0.0,hv,0.0,,,2.81,,1.0,1,1.0,True,Ratio,275.0,275.0
46,,,67,68,9900.0,275.0,275.0,289.8990479184,3.96,0.0,0.0,0.0,hv,0.0,,,2.85,,1.0,1,1.0,True,Ratio,275.0,275.0
47,,,69,70,9900.0,275.0,275.0,286.4416461934,4.455,0.0,0.0,0.0,hv,0.0,,,3.71,,1.0,1,1.0,True,Ratio,275.0,275.0
48,,,71,72,9900.0,275.0,275.0,274.5631452945,4.455,0.0,0.0,0.0,hv,0.0,,,3.53,,1.0,1,1.0,True,Ratio,275.0,275.0
49,,,73,74,9900.0,400.0,400.0,189.1061969503,2.475,0.0,0.0,0.0,hv,0.0,,,4.97,,1.0,1,1.0,True,Ratio,400.0,400.0
50,,,73,75,9900.0,400.0,400.0,189.1014287122,2.079,0.0,0.0,0.0,hv,0.0,,,4.97,,1.0,1,1.0,True,Ratio,400.0,400.0
51,,,73,76,9900.0,400.0,400.0,191.3805460803,2.277,0.0,0.0,0.0,hv,0.0,,,4.97,,1.0,1,1.0,True,Ratio,400.0,400.0
52,,,73,77,9900.0,400.0,400.0,193.7531172627,1.98,0.0,0.0,0.0,hv,0.0,,,4.97,,1.0,1,1.0,True,Ratio,400.0,400.0
53,,,78,79,9900.0,275.0,275.0,215.5541256808,3.663,0.0,0.0,0.0,hv,0.0,,,4.42,,1.0,1,1.0,True,Ratio,275.0,275.0
